STRG+X;Ausgewähltes Element ausschneiden;Windows
STRG+C (oder STRG+EINFG);Ausgewähltes Element kopieren;Windows
STRG+V (oder UMSCHALT+EINFG);Ausgewähltes Element einfügen;Windows
STRG+Z;Aktion rückgängig machen;Windows
ALT+TAB;Zwischen geöffneten Apps wechseln;Windows
ALT+F4;Aktives Element schließen oder aktive App beenden;Windows
Windows-Logo-Taste +L;PC sperren;Windows
Windows-Logo-Taste‌ +D;Desktop anzeigen und ausblenden;Windows
F2;Ausgewähltes Element umbenennen;Windows
F3;Nach einer Datei oder einem Ordner im Datei-Explorer suchen;Windows
F4;Adressleistenliste im Datei-Explorer anzeigen;Windows
F5;Aktives Fenster aktualisieren;Windows
F6;Zwischen Bildschirmelementen in einem Fenster oder auf dem Desktop umschalten;Windows
F10;Menüleiste in der aktiven App aktivieren;Windows
ALT+F8;Ihr Kennwort auf dem Anmeldebildschirm anzeigen;Windows
ALT+ESC;Zwischen Elementen in der Reihenfolge, in der sie geöffnet wurden, umschalten;Windows
ALT+unterstrichener Buchstabe;Befehl für diesen Buchstaben ausführen;Windows
ALT+EINGABETASTE;Eigenschaften für das ausgewählte Element anzeigen;Windows
ALT+LEERTASTE;Kontextmenü für das aktive Fenster öffnen;Windows
ALT+NACH-LINKS;Zurück;Windows
ALT+NACH-RECHTS;Weiter;Windows
ALT+BILD-AUF;Um einen Bildschirm nach oben wechseln;Windows
ALT+BILD-AB;Um einen Bildschirm nach unten wechseln;Windows
STRG+F4;Aktives Dokument schließen (in Apps im Vollbildmodus, bei denen mehrere Dokumente gleichzeitig geöffnet sein können);Windows
STRG+A;Alle Elemente in einem Dokument oder Fenster auswählen;Windows
STRG+D (oder ENTF);Ausgewähltes Element löschen und in den Papierkorb verschieben;Windows
STRG+R (oder F5);Aktives Fenster aktualisieren;Windows
STRG+Y;Einer Aktion wiederholen;Windows
STRG+NACH-RECHTS;Cursor an den Anfang des nächsten Worts verschieben;Windows
STRG+NACH-LINKS;Cursor an den Anfang des vorherigen Worts verschieben;Windows
STRG+NACH-UNTEN;Cursor an den Anfang des nächsten Absatzes verschieben;Windows
STRG+NACH-OBEN;Cursor an den Anfang des vorherigen Absatzes verschieben;Windows
STRG+ALT+TAB;Zwischen allen geöffneten Apps mithilfe der Pfeiltasten umschalten;Windows
